111,0.00,-24.80,25.00
210,0.00,15.92,26.00
1196,0.00,-24.84,25.00
2196,0.00,15.92,26.00
1328,0.00,-24.84,25.00
2328,0.00,15.92,26.00
1328,0.00,-24.84,25.00
2328,0.00,15.92,26.00
113,0.00,-24.80,25.00
212,0.00,15.92,26.00
1198,0.00,-24.84,25.00
2198,0.00,15.92,26.00
111,0.00,-24.84,25.00
210,0.00,15.92,26.00
1197,0.00,-24.88,25.00
2197,0.00,15.92,26.00
1382,0.00,-24.84,25.00
2381,0.00,15.92,26.00
,0,0,0
,0,0,0
,0,0,0
,0,0,0
110,0.00,-24.84,25.00
210,0.00,15.92,26.00
1196,0.00,-24.84,25.00
2195,0.00,15.92,26.00
1380,0.00,-24.88,25.00
2380,0.00,15.92,26.00
1391,0.00,-24.84,25.00
2390,0.00,15.92,26.00
1391,0.00,-24.84,25.00
2390,0.00,15.92,26.00
1391,0.00,-24.84,25.00
2390,0.00,15.92,26.00
113,0.00,-24.84,25.00
213,0.00,15.92,26.00
1199,0.00,-24.84,25.00
2198,0.00,15.92,26.00
1382,0.00,-24.84,25.00
2382,0.00,15.92,26.00
1567,0.00,-24.84,25.00
2566,0.00,15.92,26.00
1750,0.00,-24.84,25.00
2750,0.00,15.92,26.00
1829,0.00,-24.84,25.00
2828,0.00,15.92,26.00
1829,0.00,-24.84,25.00
2828,0.00,15.92,26.00
110,0.00,-24.80,25.00
210,0.00,15.92,26.00
1196,0.00,-24.84,25.00
2196,0.00,15.92,26.00
1220,0.00,-24.84,25.00
2220,0.00,15.92,26.0
111,0.00,-24.80,25.00
210,0.00,15.92,26.00
1198,0.00,-24.84,25.00
2197,0.00,15.92,26.00
1381,0.00,-24.88,25.00
2380,0.00,15.92,26.00
1565,0.00,-24.88,25.00
2565,0.00,15.92,26.00
1749,0.00,-24.88,25.00
2749,0.00,15.92,26.00
1931,0.00,-24.84,25.00
2931,0.00,15.92,26.00
1967,0.00,-24.88,25.00
2967,0.00,15.92,26.00
1967,0.00,-24.88,25.00
2967,0.00,15.92,26.00
1967,0.00,-24.88,25.00
2967,0.00,15.92,26.00
1967,0.00,-24.88,25.00
2967,0.00,15.92,26.00
111,0.00,-24.84,25.00
210,0.00,15.92,26.00
1198,0.00,-24.84,25.00
2198,0.00,15.92,26.00
1380,0.00,-24.88,25.00
2380,0.00,15.92,26.00
1565,0.00,-24.84,25.00
2565,0.00,15.92,26.00
1750,0.00,-24.84,25.00
2750,0.00,15.92,26.00
1933,0.00,-24.84,25.00
2933,0.00,15.92,26.00
120,0.00,-24.88,25.00
220,0.00,15.92,26.00
120,0.00,-24.88,25.00
220,0.00,15.92,26.00
113,0.00,-24.80,25.00
213,0.00,15.92,26.00
1198,0.00,-24.84,25.00
2197,0.00,15.92,26.00
1380,0.00,-24.84,25.00
2380,0.00,15.92,26.00
1564,0.00,-24.84,25.00
2564,0.00,15.92,26.00
114,0.00,-24.84,25.00
213,0.00,15.92,26.00
1199,0.00,-24.88,25.00
2199,0.00,15.92,26.00
1380,0.00,-24.80,25.00
2380,0.00,15.92,26.00
1565,0.00,-24.88,25.00
2564,0.00,15.92,26.00
1748,0.00,-24.88,25.00
2747,0.00,15.92,26.00
1933,0.00,-24.84,25.00
2932,0.00,15.92,26.00
1119,0.00,-24.84,25.00
2118,0.00,15.92,26.00
1305,0.00,-24.84,25.00
2304,0.00,15.92,26.00
1488,0.00,-24.80,25.00
2488,0.00,15.92,26.00
1671,0.00,-24.88,25.00
2670,0.00,15.92,26.00
1854,0.00,-24.88,25.00
2854,0.00,15.92,26.00
139,0.00,-24.84,25.00
239,0.00,15.92,26.00
1224,0.00,-24.84,25.00
2223,0.00,15.92,26.00
1407,0.00,-24.84,25.00
2406,0.00,15.92,26.00
1593,0.00,-24.88,25.00
2592,0.00,15.92,26.00
1777,0.00,-24.84,25.00
2776,0.00,15.92,26.00
1960,0.00,-24.84,25.00
2959,0.00,15.92,26.00
1145,0.00,-24.88,25.00
2144,0.00,15.92,26.00
1328,0.00,-24.88,25.00
2328,0.00,15.92,26.00
1512,0.00,-24.84,25.00
2512,0.00,15.92,26.00
1696,0.00,-24.80,25.00
2696,0.00,15.92,26.00
1880,0.00,-24.84,25.00
2880,0.00,15.92,26.00
167,0.00,-24.84,25.00
267,0.00,15.92,26.00
1250,0.00,-24.88,25.00
2250,0.00,15.92,26.00
